GEOID,pop_50plus
250010145001,867.0
250010145002,1142.0
250010145003,845.0
250010146001,524.0
250010146002,586.0
250010146003,424.0
250010146004,918.0
250010147001,497.0
250010147002,873.0
250010147003,835.0
250010148001,643.0
250010148002,645.0
250010148003,794.0
250010148004,165.0
250010149001,353.0
250010149002,668.0
250010149003,512.0
250010149004,770.0
250010150011,1339.0
250010150012,646.0
250010150021,1617.0
250010150022,592.0
250010151001,964.0
250010151002,1089.0
250010152001,821.0
250010152002,817.0
250010153001,441.0
250010153002,527.0
250010153003,539.0
250019900000,0.0
250039001001,125.0
250039001002,237.0
250039001003,534.0
250039002001,134.0
250039002002,343.0
250039002003,193.0
250039002004,162.0
250039002005,263.0
250039002006,66.0
250039003001,299.0
250039003002,167.0
250039003003,463.0
250039004001,280.0
250039004002,273.0
250039004003,855.0
250039004004,405.0
250039005001,642.0
250039005002,1031.0
250039006001,254.0
250039006002,102.0
250039006003,183.0
250039006004,268.0
250039006005,197.0
250039007001,324.0
250039007002,111.0
250039007003,186.0
250039007004,420.0
250039008001,358.0
250039008002,248.0
250039008003,400.0
250039008004,634.0
250039008005,344.0
250039009001,441.0
250039009002,146.0
250039009003,175.0
250039009004,646.0
250039009005,186.0
250039011001,240.0
250039011002,267.0
250039011003,966.0
250039111001,386.0
250039111002,530.0
250039111003,343.0
250039121001,608.0
250039121002,246.0
250039121003,181.0
250039121004,272.0
250039121005,289.0
250039121006,672.0
250039121007,426.0
250039131001,158.0
250039131002,287.0
250039131003,384.0
250039131004,423.0
250039131005,732.0
250039131006,521.0
250039131007,279.0
250039141001,729.0
250039141002,388.0
250039141003,407.0
250039141004,618.0
250039141005,544.0
250039141006,186.0
250039201011,522.0
250039201012,615.0
250039201013,387.0
250039201014,120.0
250039201021,848.0
250039201022,769.0
250039213001,349.0
250039213002,556.0
250039213003,504.0
250039214001,233.0
250039214002,346.0
250039215001,346.0
250039215002,803.0
250039221001,261.0
250039221002,334.0
250039221003,400.0
250039222001,264.0
250039222002,421.0
250039222003,866.0
250039223001,207.0
250039223002,585.0
250039231001,467.0
250039231002,375.0
250039231003,720.0
250039241001,517.0
250039241002,318.0
250039241003,483.0
250039251011,265.0
250039251012,491.0
250039251021,850.0
250039251022,90.0
250039251023,209.0
250039251024,544.0
250039251025,616.0
250039261001,445.0
250039261002,315.0
250039261003,430.0
250039261004,215.0
250039311001,366.0
250039311002,399.0
250039313001,342.0
250039313002,350.0
250039314001,396.0
250039314002,268.0
250039322001,274.0
250039322002,471.0
250039322003,313.0
250039323001,128.0
250039323002,498.0
250039332001,282.0
250039332002,528.0
250039333001,380.0
250039333002,328.0
250039334001,300.0
250039334002,378.0
250039334003,461.0
250039342001,178.0
250039342002,477.0
250039343001,294.0
250039343002,720.0
250039351001,142.0
250039351002,326.0
250039351003,492.0
250039351004,338.0
250039352001,530.0
250039352002,262.0
250039352003,381.0
250039352004,238.0
250039352005,250.0
250039353001,253.0
250039353002,538.0
250039353003,738.0
250056001001,950.0
250056001002,1019.0
250056002021,885.0
250056002022,508.0
250056002023,581.0
250056002031,874.0
250056002032,292.0
250056002033,451.0
250056002034,638.0
250056002041,580.0
250056002042,662.0
250056101001,712.0
250056101002,481.0
250056101003,305.0
250056102021,806.0
250056102022,421.0
250056102023,419.0
250056102024,247.0
250056102031,362.0
250056102032,406.0
250056102033,678.0
250056102034,481.0
250056102035,494.0
250056102041,429.0
250056102042,655.0
250056102043,432.0
250056111011,1044.0
250056111012,492.0
250056111021,461.0
250056111022,764.0
250056112011,581.0
250056112012,691.0
250056112021,992.0
250056112022,569.0
250056112023,824.0
250056121001,530.0
250056121002,887.0
250056121003,484.0
250056122011,814.0
250056122012,296.0
250056122021,317.0
250056122022,934.0
250056122023,942.0
250056131001,515.0
250056131002,807.0
250056131003,956.0
250056131004,442.0
250056133001,798.0
250056133002,639.0
250056133003,760.0
250056133004,513.0
250056134001,1057.0
250056134002,470.0
250056136001,468.0
250056136002,119.0
250056136003,470.0
250056137001,878.0
250056137002,636.0
250056138001,449.0
250056138002,549.0
250056138003,75.0
250056138004,403.0
250056139011,294.0
